Id,ActivityHour,Total_Intensity,Avg_Intensity,TotalCalories,TotalSteps,Date,Year,Month,Day,DayName,Time,Hour
1503960366,2016-04-12T00:00:00Z,20,0.333333,81,373,2016-04-12,2016,4,12,Tuesday,00:00:00,0
1503960366,2016-04-12T01:00:00Z,8,0.133333,61,160,2016-04-12,2016,4,12,Tuesday,01:00:00,1
1503960366,2016-04-12T02:00:00Z,7,0.116667,59,151,2016-04-12,2016,4,12,Tuesday,02:00:00,2
1503960366,2016-04-12T03:00:00Z,0,0.0,47,0,2016-04-12,2016,4,12,Tuesday,03:00:00,3
1503960366,2016-04-12T04:00:00Z,0,0.0,48,0,2016-04-12,2016,4,12,Tuesday,04:00:00,4
1503960366,2016-04-12T05:00:00Z,0,0.0,48,0,2016-04-12,2016,4,12,Tuesday,05:00:00,5
1503960366,2016-04-12T06:00:00Z,0,0.0,48,0,2016-04-12,2016,4,12,Tuesday,06:00:00,6
1503960366,2016-04-12T07:00:00Z,0,0.0,47,0,2016-04-12,2016,4,12,Tuesday,07:00:00,7
1503960366,2016-04-12T08:00:00Z,13,0.216667,68,250,2016-04-12,2016,4,12,Tuesday,08:00:00,8
1503960366,2016-04-12T09:00:00Z,30,0.5,141,1864,2016-04-12,2016,4,12,Tuesday,09:00:00,9
1503960366,2016-04-12T10:00:00Z,29,0.483333,99,676,2016-04-12,2016,4,12,Tuesday,10:00:00,10
1503960366,2016-04-12T11:00:00Z,12,0.2,76,360,2016-04-12,2016,4,12,Tuesday,11:00:00,11
1503960366,2016-04-12T12:00:00Z,11,0.183333,73,253,2016-04-12,2016,4,12,Tuesday,12:00:00,12
1503960366,2016-04-12T13:00:00Z,6,0.1,66,221,2016-04-12,2016,4,12,Tuesday,13:00:00,13
1503960366,2016-04-12T14:00:00Z,36,0.6,110,1166,2016-04-12,2016,4,12,Tuesday,14:00:00,14
1503960366,2016-04-12T15:00:00Z,58,0.966667,151,2063,2016-04-12,2016,4,12,Tuesday,15:00:00,15
1503960366,2016-04-12T16:00:00Z,13,0.216667,76,344,2016-04-12,2016,4,12,Tuesday,16:00:00,16
1503960366,2016-04-12T17:00:00Z,16,0.266667,83,489,2016-04-12,2016,4,12,Tuesday,17:00:00,17
1503960366,2016-04-12T18:00:00Z,29,0.483333,124,1386,2016-04-12,2016,4,12,Tuesday,18:00:00,18
1503960366,2016-04-12T19:00:00Z,39,0.65,104,558,2016-04-12,2016,4,12,Tuesday,19:00:00,19
1503960366,2016-04-12T20:00:00Z,41,0.683333,132,1733,2016-04-12,2016,4,12,Tuesday,20:00:00,20
1503960366,2016-04-12T21:00:00Z,31,0.516667,100,684,2016-04-12,2016,4,12,Tuesday,21:00:00,21
1503960366,2016-04-12T22:00:00Z,9,0.15,65,89,2016-04-12,2016,4,12,Tuesday,22:00:00,22
1503960366,2016-04-12T23:00:00Z,21,0.35,81,338,2016-04-12,2016,4,12,Tuesday,23:00:00,23
1503960366,2016-04-13T00:00:00Z,14,0.233333,69,144,2016-04-13,2016,4,13,Wednesday,00:00:00,0
1503960366,2016-04-13T01:00:00Z,0,0.0,48,0,2016-04-13,2016,4,13,Wednesday,01:00:00,1
1503960366,2016-04-13T02:00:00Z,0,0.0,47,0,2016-04-13,2016,4,13,Wednesday,02:00:00,2
1503960366,2016-04-13T03:00:00Z,4,0.066667,53,36,2016-04-13,2016,4,13,Wednesday,03:00:00,3
1503960366,2016-04-13T04:00:00Z,0,0.0,47,0,2016-04-13,2016,4,13,Wednesday,04:00:00,4
1503960366,2016-04-13T05:00:00Z,0,0.0,47,0,2016-04-13,2016,4,13,Wednesday,05:00:00,5
1503960366,2016-04-13T06:00:00Z,0,0.0,48,0,2016-04-13,2016,4,13,Wednesday,06:00:00,6
