Id,Date,Total_METs,Avg_METs,Year,Month,Day,DayName
4057192912,2016-04-12,18434,12.8,2016,4,12,Tuesday
4057192912,2016-04-13,18566,12.89,2016,4,13,Wednesday
4057192912,2016-04-14,14400,10.0,2016,4,14,Thursday
4057192912,2016-04-15,12240,12.75,2016,4,15,Friday
8053475328,2016-04-26,23366,16.23,2016,4,26,Tuesday
8053475328,2016-04-27,23428,16.27,2016,4,27,Wednesday
8053475328,2016-04-28,25150,17.47,2016,4,28,Thursday
8053475328,2016-04-29,22953,15.94,2016,4,29,Friday
8053475328,2016-04-30,19784,13.74,2016,4,30,Saturday
8053475328,2016-04-23,29196,20.28,2016,4,23,Saturday
8053475328,2016-04-24,29379,20.4,2016,4,24,Sunday
8053475328,2016-04-25,27954,19.41,2016,4,25,Monday
8053475328,2016-05-01,15490,10.76,2016,5,1,Sunday
8053475328,2016-05-02,16377,11.37,2016,5,2,Monday
8053475328,2016-05-03,24903,17.29,2016,5,3,Tuesday
8053475328,2016-05-04,24024,16.68,2016,5,4,Wednesday
8053475328,2016-05-05,24299,16.87,2016,5,5,Thursday
8053475328,2016-05-06,23550,16.35,2016,5,6,Friday
8053475328,2016-05-07,27439,19.05,2016,5,7,Saturday
8053475328,2016-05-08,29565,20.53,2016,5,8,Sunday
8053475328,2016-05-09,22776,15.82,2016,5,9,Monday
8053475328,2016-05-10,24101,16.74,2016,5,10,Tuesday
8053475328,2016-05-11,23136,16.07,2016,5,11,Wednesday
8053475328,2016-05-12,12233,13.59,2016,5,12,Thursday
8053475328,2016-04-12,26168,18.17,2016,4,12,Tuesday
8053475328,2016-04-13,25796,17.91,2016,4,13,Wednesday
8053475328,2016-04-14,27987,19.44,2016,4,14,Thursday
8053475328,2016-04-15,28013,19.45,2016,4,15,Friday
8053475328,2016-04-16,23554,16.36,2016,4,16,Saturday
8053475328,2016-04-17,26388,18.33,2016,4,17,Sunday
8053475328,2016-04-18,25734,17.87,2016,4,18,Monday
8053475328,2016-04-19,25580,17.76,2016,4,19,Tuesday
8053475328,2016-04-20,24996,17.36,2016,4,20,Wednesday
8053475328,2016-04-21,25469,17.69,2016,4,21,Thursday
8053475328,2016-04-22,21808,15.14,2016,4,22,Friday
1644430081,2016-04-12,22768,15.81,2016,4,12,Tuesday
1644430081,2016-04-13,20656,14.34,2016,4,13,Wednesday
1644430081,2016-04-14,22960,15.94,2016,4,14,Thursday
1644430081,2016-04-15,19572,13.59,2016,4,15,Friday
1644430081,2016-04-16,24860,17.26,2016,4,16,Saturday
1644430081,2016-04-17,21426,14.88,2016,4,17,Sunday
1644430081,2016-04-18,19972,13.87,2016,4,18,Monday
1644430081,2016-04-19,23158,16.08,2016,4,19,Tuesday
1644430081,2016-04-20,17294,12.01,2016,4,20,Wednesday
1644430081,2016-04-21,15232,10.58,2016,4,21,Thursday
1644430081,2016-04-22,16682,11.58,2016,4,22,Friday
1644430081,2016-04-23,19052,13.23,2016,4,23,Saturday
1644430081,2016-04-24,17176,11.93,2016,4,24,Sunday
1644430081,2016-04-25,17772,12.34,2016,4,25,Monday
1644430081,2016-04-26,22224,15.43,2016,4,26,Tuesday
1644430081,2016-04-27,17716,12.3,2016,4,27,Wednesday
1644430081,2016-04-28,22122,15.36,2016,4,28,Thursday
1644430081,2016-04-29,17776,12.34,2016,4,29,Friday
1644430081,2016-04-30,27370,19.01,2016,4,30,Saturday
1644430081,2016-05-01,19186,13.32,2016,5,1,Sunday
1644430081,2016-05-02,18048,12.53,2016,5,2,Monday
1644430081,2016-05-03,23632,16.41,2016,5,3,Tuesday
1644430081,2016-05-04,15818,10.98,2016,5,4,Wednesday
1644430081,2016-05-05,17533,12.18,2016,5,5,Thursday
1644430081,2016-05-06,24082,16.72,2016,5,6,Friday
1644430081,2016-05-07,24223,16.82,2016,5,7,Saturday
1644430081,2016-05-08,21262,14.77,2016,5,8,Sunday
1644430081,2016-05-09,21408,14.87,2016,5,9,Monday
1644430081,2016-05-10,19924,13.84,2016,5,10,Tuesday
1644430081,2016-05-11,8390,11.65,2016,5,11,Wednesday
4558609924,2016-05-11,23023,15.99,2016,5,11,Wednesday
4558609924,2016-05-12,15156,15.79,2016,5,12,Thursday
4558609924,2016-05-10,20406,14.17,2016,5,10,Tuesday
4558609924,2016-05-03,21090,14.65,2016,5,3,Tuesday
4558609924,2016-05-04,19896,13.82,2016,5,4,Wednesday
4558609924,2016-05-05,24418,16.96,2016,5,5,Thursday
4558609924,2016-05-06,18600,12.92,2016,5,6,Friday
4558609924,2016-05-07,21306,14.8,2016,5,7,Saturday
4558609924,2016-05-08,28812,20.01,2016,5,8,Sunday
4558609924,2016-05-09,24027,16.69,2016,5,9,Monday
4558609924,2016-04-18,22756,15.8,2016,4,18,Monday
4558609924,2016-04-19,20170,14.01,2016,4,19,Tuesday
4558609924,2016-04-20,19234,13.36,2016,4,20,Wednesday
4558609924,2016-04-21,26738,18.57,2016,4,21,Thursday
4558609924,2016-04-22,22524,15.64,2016,4,22,Friday
4558609924,2016-04-23,22352,15.52,2016,4,23,Saturday
4558609924,2016-04-24,23246,16.14,2016,4,24,Sunday
4558609924,2016-04-25,23839,16.55,2016,4,25,Monday
4558609924,2016-04-26,23798,16.53,2016,4,26,Tuesday
4558609924,2016-04-27,22475,15.61,2016,4,27,Wednesday
4558609924,2016-04-28,23402,16.25,2016,4,28,Thursday
4558609924,2016-04-29,20591,14.3,2016,4,29,Friday
4558609924,2016-04-30,22588,15.69,2016,4,30,Saturday
4558609924,2016-05-01,18164,12.61,2016,5,1,Sunday
4558609924,2016-05-02,22311,15.49,2016,5,2,Monday
4558609924,2016-04-12,20576,14.29,2016,4,12,Tuesday
4558609924,2016-04-13,18560,12.89,2016,4,13,Wednesday
4558609924,2016-04-14,20719,14.39,2016,4,14,Thursday
4558609924,2016-04-15,22863,15.88,2016,4,15,Friday
4558609924,2016-04-16,21451,14.9,2016,4,16,Saturday
4558609924,2016-04-17,22775,15.82,2016,4,17,Sunday
4319703577,2016-04-12,14400,10.0,2016,4,12,Tuesday
4319703577,2016-04-13,17299,12.01,2016,4,13,Wednesday
4319703577,2016-04-14,22733,15.79,2016,4,14,Thursday
4319703577,2016-04-15,19596,13.61,2016,4,15,Friday
4319703577,2016-04-16,18607,12.92,2016,4,16,Saturday
4319703577,2016-04-17,14460,10.04,2016,4,17,Sunday
4319703577,2016-04-18,16152,11.22,2016,4,18,Monday
4319703577,2016-04-19,21765,15.11,2016,4,19,Tuesday
4319703577,2016-04-20,21904,15.21,2016,4,20,Wednesday
